phi, e_xx, e_yy, e_zz, e_yz, e_xz, e_xy
62, -0.004064565451112074, 0.00947792532986994, -0.00499396215285872, 0.0, 0.0, -0.0026088891960679133
63, -0.004041629011319213, 0.009477002495821731, -0.005029805611465193, 0.0, 0.0, -0.0028731439567488276
64, -0.004008921994630343, 0.009464653417460488, -0.005064116942557592, 0.0, 0.0, -0.0031386995017302225
65, -0.003966362804232222, 0.009440790296747742, -0.005096885694572085, 0.0, 0.0, -0.0034049791116131105
66, -0.003913896501397465, 0.009405352499952172, -0.005128101885829372, 0.0, 0.0, -0.003671401241285663
67, -0.003851495008335912, 0.009358306762235718, -0.005157756007575197, 0.0, 0.0, -0.003937381068721647
68, -0.0037791572375115074, 0.009299647318550487, -0.005185839026876809, 0.0, 0.0, -0.004202332053639839
69, -0.0036969091470543222, 0.009229395960475603, -0.005212342389374483, 0.0, 0.0, -0.004465667501765741
70, -0.0036048037220998354, 0.009147602018825647, -0.005237258021887261, 0.0, 0.0, -0.004726802130421298
71, -0.003502920882090659, 0.00905434227206553, -0.0052605783348721145, 0.0, 0.0, -0.00498515363116434
72, -0.003391367314278772, 0.008949720780769485, -0.005282296224735798, 0.0, 0.0, -0.005240144225207404
73, -0.0032702762338686145, 0.008833868648564298, -0.005302405075998675, 0.0, 0.0, -0.0054912022073649565
74, -0.003139807071442461, 0.00870694371019787, -0.005320898763309851, 0.0, 0.0, -0.005737763474309302
75, -0.003000145088508816, 0.008569130147573722, -0.00533777165331302, 0.0, 0.0, -0.0059792730329581035
76, -0.0028515009222115713, 0.008420638034789011, -0.005353018606362434, 0.0, 0.0, -0.006215186484870673
77, -0.0026941100604318657, 0.008261702813407908, -0.005366634978088494, 0.0, 0.0, -0.006444971482595588
78, -0.002528232248705375, 0.008092584699392981, -0.005378616620812469, 0.0, 0.0, -0.006668109153988796
79, -0.0023541508305646676, 0.007913568023304264, -0.005388959884809915, 0.0, 0.0, -0.006884095490608889
80, -0.002172172023098812, 0.007724960505558208, -0.005397661619422421, 0.0, 0.0, -0.007092442696394277
81, -0.0019826241296999236, 0.007527092468716292, -0.005404719174017329, 0.0, 0.0, -0.0072926804929356924
82, -0.0017858566921386547, 0.00732031598894546, -0.005410130398795142, 0.0, 0.0, -0.007484357377775985
83, -0.0015822395842768709, 0.007105003988958795, -0.005413893645444369, 0.0, 0.0, -0.00766704183229766
